	postdate	company	title	description
0	7 days ago	Starbucks	data scientist - Seattle, WA or remote	"Now Brewing – Data Scientists! #tobeapartner

From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
The data scientist will support growth at Starbucks by expanding the reach and scale of forecasting and measurement capabilities to support future planning and decision measurement. In this role, you’ll leverage statistical analysis, time series methods, machine learning, product development, data visualization, and storytelling. Day-to-day work will balance providing short-term analytical guidance and supporting long-term forecasting and measurement product development. You will also have the opportunity to collaborate and immerse with teams across Starbucks, including finance, demand planning, store development, marketing, and loyalty.
As a data scientist, you will…
Extract and transform data from multiple sources in preparation for exploratory data analysis, modeling, and reporting.
Leverage predictive and inferential advanced statistical and machine learning techniques to solve business problems, including methods to surface uncertainty intervals to provide increased context.
Transform model outputs into formats that are digestible to the end users through visualization, clear tables, and/or thoughtful presentations. Assist technical and non-technical end users in how to leverage and interpret the analysis.
Drive innovation by proposing and testing novel techniques and technologies to solve known problems and identify new business problems that can be addressed using data science products developed by the team.

We’d love to hear from people with:

Education: MS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline
Advanced competency in working with time series data (e.g., forecasting, longitudinal data analysis, or panel regression), including being able to perform inferential analysis and develop and communicate measures of uncertainty for data having spatial or temporal dependence/correlation.
Strong data exploratory skills. Understands how to break down the data, extract insights, and determine utility within larger data analytic products.
Knowledge of at least one approach to longitudinal inference/time series measurement, such as counterfactual causal models, synthetic control models, matching approaches, or difference-in-differences.
Working knowledge of either Python or R, and competency in SQL.
Join us and be part of something bigger. Apply today!

Starbucks and its brands are an equal opportunity employer of all qualified individuals.

We are committed to creating a diverse and welcoming workplace that includes partners with diverse backgrounds and experiences. We believe that enables us to better meet our mission and values while serving customers throughout our global communities. People of color, women, LGBTQIA+, veterans and persons with disabilities are encouraged to apply.

Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Starbucks Corporation is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at 206-318-0660 or via email at applicantaccommodation@starbucks.com"
1	20 days ago	Juristat	Data Analyst – Data Entry	"Note: While this is a fully remote position, we can only consider those whose legal residence is in Texas, Colorado, Kansas, Missouri, and Illinois.
Juristat is building an innovative suite of products, and we need the team to create those tools. We’re seeking a highly motivated and organized individual to join our data team as a Data Analyst. This team is responsible for acquiring and analyzing the most complete and accurate data available to grow our products and inform our business strategies.
This particular team member will be responsible for analyzing incoming legal documents in real-time to detect and correct errors in our processing, enter data from the source documents into templates, annotate legal documents, and provide feedback to others, to improve our proprietary artificial intelligence.
Remote work-from-home options are available for this role. If you possess high attention to detail and a strong work ethic – this is the job for you!
ABOUT THE POSITION
Your responsibilities will include:
Collecting and analyzing digital documents and related data
Reviewing data and documents for errors
Entering, correcting, and formatting data from source documents
Working cooperatively with other Juristat team members
Consistently meeting individual and team performance objectives
Becoming familiar with Juristat’s tools and systems in order to understand all team-related internal systems, processes, and procedures
Potential to grow into a larger role, based on performance, skills, and experience
ABOUT YOU
There are several qualities that make you stand out as the right person to fill this position. In particular:
You are extremely organized and possess high attention to detail
You have a strong work ethic
You are trustworthy and can maintain confidentiality
You are skilled at typing and using digital word processors, such as Microsoft Word and/or Google Documents, as well as other similar computer applications
You are knowledgeable of correct spelling, grammar, and punctuation
You can quickly adapt to new processes and procedures as our team grows and our processes rapidly improve
You are excited to learn about our current processes and infrastructure, and willing to provide creative suggestions to improve our workflow as you grow in your role
Juristat is an equal opportunity employer. We're excited to work with people no matter their race, color, creed, religion, veteran status, national origin, ancestry, sex, sexual orientation, gender identity or expression, age, marital status, pregnancy status, or mental or physical disability.
vHWS3CkP0Q"
2	19 days ago	Descartes Labs	Applied Scientist (Sustainability)	"The Company
Descartes Labs helps the world's largest organizations unlock the power of geospatial analytics to solve global scale problems. Our solutions create new sources of environmental sustainability and operational advantage and foresight for agriculture, CPG, mining, and government users by combining machine intelligence and domain expertise into a complete operational solution.
Descartes Labs is proud to be a remote-first, deliberately distributed organization that recognizes that people have different needs and motivations for building a life and career that matters and works for them. For this reason, we are open to our employees working from any location, in a way that enhances their well-being, productivity, and role. We focus on helping our employees produce positive outcomes and we recognize that the path to getting there will look different for different people.
The Role
Are you interested in shaping the tools that enable global enterprises to turn their sustainability commitments into action? We are looking for pragmatic problem solvers who favor practical, efficient solutions that also maintain a high degree of scientific rigor. As an Applied Scientist on the Sustainability team, you will collaborate with our cross-disciplinary team to build cutting edge sustainability solutions for our clients and partners.
The work we do includes (but is not limited to): (1) Land cover mapping and disturbance monitoring over critical ecosystems, particularly tropical forests (2) Forest carbon mapping and modeling using remote sensing data, and (3) Regenerative agriculture, including its mapping, modeling, and implications for carbon sequestration. In particular, we are looking for candidates with expertise in forest remote sensing, including (but not limited to) using LiDAR, SAR tomography, and other advanced methods to remotely estimate forest biomass.
Your Impact
Use our archive of satellite imagery and other datasets to develop and implement scalable models (statistical, mathematical, machine learning, and/or empirical) that support our products and customer engagements.
You will actively participate as a member of a cross-disciplinary team, openly communicating your ideas, insights, and feedback while helping to continuously improve our processes.
Collaborate with product managers to develop new products, feature datasets, and capabilities relevant to sustainability initiatives
Contribute to building a scalable, efficient set of workflows and toolsets leveraging our existing platform infrastructure
What You Bring
An advanced degree in a relevant scientific or quantitative field such as meteorology, climate science, environmental science or closely-related field preferred; industry experience may be taken under consideration as a substitute
Demonstrated background developing statistical, machine learning, and/or simulation models for climate/weather systems
Proficiency in Python, or in another scientific programming language with the ability to quickly pick up new technical skills
Strong problem solving skills, with the ability to research, develop, and implement solutions to novel problems
Ability to communicate in a clear and concise manner, relating economic concepts and market developments to both general and business audiences
Self-motivated and able to work independently as well as within a team
Familiarity with cloud-based and/or distributed computing
Who You Are
Curious. You are always exploring and experimenting, and you have a hard time putting down exciting new problems. You enthusiastically share your learning with others and actively seek new knowledge.
Conscientious. You are determined, always keep your promises, and are forward thinking. Principled and integrous, you take your commitments seriously.
Humble. Unpretentious and self-aware, you cultivate compassion for others and take responsibility for your mistakes. Egos are barriers to doing the best work and always learning.
Open and Inclusive. You are receptive and interested in new ideas and perspectives, even when those perspectives don’t agree with your views. You value and respect difference and create ways for all people to contribute to the organization.
Collaborative. You know it takes a team to get anything accomplished and you actively and inclusively work across the organization. You listen intently and openly and are always focused first on creating the best results.
Adaptable. You are able to navigate changing circumstances and environments with ease and approach uncertainty with enthusiasm, while inspiring others towards effective goal setting and accomplishment.
Top Reasons to Work at Descartes Labs
We pride collaboration over ownership, iteration over perfection, principles over rules, and discussion over directives
We’re using the world’s top technology to solve the world’s largest problems with a strong focus on sustainability, environment, and impact science
We look at Descartes Labs as a work environment where people are included, treat their colleagues with professional regard and respect, and thrive as a result
We’re a highly collaborative company that constantly promotes success through teamwork
We strongly encourage and enjoy a flexible work environment
You belong here! If your experience and interests match with some of the above, we want you to apply. Nobody is an expert on all or even parts of our stack.
Descartes Labs is committed to building a diverse community and we embrace equal opportunity in a serious way. We strive to be a team with a variety of backgrounds, perspectives and skills. Scientific discovery is in our DNA and the more inclusive we are, the better our work will be; diversity fuels innovation!
Accommodations will be provided as requested by candidates during all aspects of our interview process."
3	4 days ago	Red Canary	Principal Data Scientist	"Who We Are
Red Canary was founded to create a world where every organization can make its greatest impact without fear of cyber attack. Our combination of market-defining technology, processes, and expertise are preventing breaches every day. We are completely changing the way security is delivered and setting the new standard for security. If our mission resonates with you, let’s talk!
What We Believe InDo what’s right for the customerBe kind and authenticDeliver great qualityBe relentless

Challenges You Will Solve
You’re passionate about applying your technical and leadership skills to solve complex problems. You thrive and welcome the challenges of the unknown. You are a force multiplier - enabling other members of your team to do their job better. You don’t require micromanagement - and can easily take ownership of large projects. You independently identify areas of improvement throughout the company. You champion correct solutions to problems.
What You'll Do
Work with large, complex data sets.
Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.
Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale.
Research and develop analysis, forecasting, and optimization methods to improve all Red Canary products
Work closely with other functions (e.g. PM, Engineering, Analytics, Marketing, Sales) to deliver high quality solutions.
What You'll Bring
A degree in Computer Science, Data Science, Mathematics, or equivalent work experience
Expert knowledge in machine learning
Strong organizational, communication, and leadership skills
Strong understanding of designing and building machine learning models in AWS
Experience leading a team of data scientists
Experience with online machine learning on large scale data sets
Experience owning the lifecycle of features or products, including ideation, prototyping, implementation, and support
Ability to independently identify areas of improvement in an existing system
Passionate about making better products, and delivering high impact solutions
Targeted base salary range: $200,000 - $250,000 + bonus eligibility and equity depending on experience.
Why Red Canary?
Red Canary is where people embody our mission to improve security outcomes for all. People work hard to maintain a culture that encourages authenticity in order to do your best work. Our people are driven and committed to finding the best security outcomes, delivering real and actionable answers, and being transparent along the way.
At Red Canary, we offer a very rich benefits program to our full-time team members so they can focus on their families and improving our customers’ security. For a full list of benefits, please review our Benefits Summary:
https://redcanary.com/wp-content/uploads/2021/01/Benefit-Summary-Red-Canary.pdf
Individuals seeking employment at Red Canary are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation."
4	30+ days ago	Kaplan	Data Scientist	"Job Title
Data Scientist
Job Description
We are looking for Data Scientists to be part of the Metis Data Science Instructional Team. We seek individuals who love and are passionate about teaching others to be premier data scientists, excel at analyzing and visualizing data to solve important problems, and are fun to be around and work with. An ideal candidate should be quick to learn and adapt, care about the design of simple, powerful, beautiful interfaces and visuals, love writing code, thrive in creative team efforts, and also have interests and passions beyond data science.
Responsibilities
Metis Data Scientists provide incredible and inspiring Data Science instruction; support the design and teaching of new products and courses and infuse their expertise into our business operations, and continually sharpen their skills through consulting and project explorations.
Co-Teaching the Data Science Bootcamp
Metis Data Scientists co-teach our immersive bootcamps and short immersive courses. On any given day, the amount of lecture time is 1-2 hours, and the remainder of the day is spent directly engaging with and coaching individually the students. The responsibilities include:
Teaching lessons
Leading course discussions
Providing personalized support to students
Improving the quality of our curriculum
Offering career guidance and interview support to our students and alumni
Developing Courses and Supporting Business Operations

Metis Data Scientists spend time focused on internal operations and thought leadership. Some examples of how that time gets used includes:
Creating new courses and/or enhancing existing courses
Optimizing our admissions process
Improving our data engineering and workflow
Speaking at events and conferences
Writing articles and blogs
Assisting with instructor recruitment

Ideal Applicant
Has an exceptional background in at least two of the following three skill domains:
Computer Science
Math/Statistics
Data Science/Machine Learning
At least 1 year of solid data science industry experience
Fluent in Python (NumPy, pandas, sklearn)
Preferably has some teaching experience
Has excellent communication and listening skills
Approaches problems with a design perspective
Is passionate about continuous learning
Does not take themselves too seriously
Perks of the Role
Part of a team that is transforming education
Competitive compensation package
Opportunity to network and develop, both among Metis’ Data Science speaker community, as well as through Kaplan, the global education company and parent company of Metis
Opportunity to work remote
Location
Remote/Nationwide, USA
Additional Locations
Employee Type
Employee
Job Functional Area
Instructors
Business Unit
Kaplan is an Equal Opportunity Employer"
5	11 days ago	Harvest NYC	Data Scientist	"Description
About Harvest
Harvest is an industry-leading, independent software company that makes tools to help businesses run more smoothly. We believe that businesses only succeed by using their time intentionally. Our products support our customers through time tracking, reporting, and forecasting features.
Harvest started in 2006 as a team of three and has grown to today’s current team of over 60 with Harvesters working from around the globe. We’ve worked as a remote team since the beginning and we continue to hire the right people for the job no matter where they call home.
We strive to create a workplace culture where everyone feels valued, included, and heard. One important aspect of this is continuing to create spaces for diverse life experiences and work histories. If you are a member of a group that is historically underrepresented and disadvantaged in tech, business, and society in general, we want to meet you and we encourage you to apply.
About the Role
This is an opportunity to join Harvest’s nascent data team. In the short term, you will help build Harvest’s reporting layer using DBT and Mode. Medium-term, you will help shape and implement an experimentation program. Longer-term, there is flexibility in how you can grow as long as you bring kindness, honor time, and seek impact.
You should consider applying if:
You have both a teacher and a student mindset.
15 years worth of data excites you.
You're interested in building a data practice from the ground up.
You like small teams.
You value a distributed and diverse work culture. Working side-by-side with co-workers from around the world is something you cherish.
You value simplicity over complexity and practicality over theory.
You are skeptical, curious, and not afraid of failure.

Responsibilities
Munge data, analyze and interpret results to provide both ad-hoc and scalable ongoing reporting
Gather requirements from stakeholders, understand the intent of their requests along with potential business impact, and guide and execute upon those requests
Guide your colleagues through the scientific method by designing and leading experiments
Develop an understanding of how data moves through Harvest
Build upon Harvest’s logic layer to ensure scalability and accuracy
Grow in both depth and breadth in order to become a subject matter expert in given technologies and/or parts of the business
Requirements
Strong working knowledge of SQL and at least one scripting language (R or Python preferred)
Knowledge of statistics, hypothesis testing, and probability
Experience with relational databases
Strong written and oral communication
A desire to learn and grow

Nice to Have
Experience with SAAS products"
6	18 days ago	Hathway	Data Scientist R&D	Job OverviewHathway is looking for an experienced data scientist + machine learning expert to found its new Data Science practice. This role will endeavor to create product recommendations, personalization and segmentation for marketing purposes, and solve other interesting challenges within data science. You will have access to large amounts of high quality data and a flexible work environment to solve problems in.The Data Scientist will be supported by a Data Engineer and Data Analyst, working directly with Hathway’s Analytics and Insights Department, as well as its R&D Department. In addition, the Data Scientist will have the assistance of Hathway’s Engineering Department in productionizing their work.ResponsibilitiesAct as a “service of one” and own Hathway’s emergent data science practice, solving complex issues in e-commerce, growth marketing, loyalty, and other areas using the AWS Stack and related toolsCreate pipelines and other infrastructure related tasks (ETL, deployment, training schedule, monitoring, etc.) necessary to productionize ML systemsGenerate solutions using data science and machine learning, such as logic supporting product and offer recommendations in digital commerceUtilize customer segments and personalization techniques to enhance marketing capabilitiesCalculate user metrics such as churn, time to next purchase, minimum viable offer, and others to enhance marketing capabilitiesProvide insights into consumer behavior and system performanceContribute toward the delivery of prototypes, proof of concept, or other deliverables as established by your manager that incrementally demonstrate feasibility and viability of the solutions you are creatingReport routinely on progress of efforts in a manner that is consumable by Hathway’s business leadershipQualificationsExtensive experience building machine learning solutions in AWS Stack - Sagemaker, Glue, S3, Dynamo, etc.Extensive experience solving both supervised and unsupervised machine learning problemsExtensive experience with neural networks and other learning methodologies (SVM, random forests, Bayesian networks, etc.)Extensive experience using statistical computer languages (R, Python, SLQ, Scala, etc.) to manipulate data and draw insights from large data sets.Experience with segmentation and personalization learning techniquesExperience with product recommendation engines, preferably with personalizationWorking knowledge of current AI/ML landscape, including new methodologies, e.g. multi-step classification systems, GANs, Deep Learning, etc.Some experience with data visualizationSome experience with productionizing a ML system, e.g. exposing via API, creating service layer, etc.Location, Physical Requirements, and PPEAbility to walk, stand, sit, kneel, push, stoop, reach above the shoulder, grasp, pull, bend repeatedly, climb stairs, identify colors, hear with aid, see, write, count, read, speak, analyze, alphabetize, lift and carry under 25 lbs., perceive depth and operate a motor vehicle.Conditions may include working inside and/or outside. May work around machines with moving parts and moving objects. Working near radiant and electrical energy. Working closely with others or working alone. Working extended or irregular hours and travelling by all possible modes of transportation.Equipment (machines, tools, devices) used in performing the essential job functions include but are not limited to computers and related equipment, calculators, copiers, fax machines, telephones, and vehicles.Job Type: Full-time
7	30+ days ago	U.Group	Data Scientist	"About U.Group
U.Group is an advanced technology and creative design company radically focused on using customer-centric innovation to create new opportunities in the public and private sectors. Working collaboratively out of offices in Arlington, VA, Washington, DC, Portland, OR, and in the heart of the action at client sites—U.Group delivers best-in-class digital services, powerful data platforms, augmented reality solutions, integrated marketing strategies, bundled services, and more. To learn more, visit www.U.Group.
Role Summary
Data Science at U.Group is dedicated to designing and engineering advanced data processing and analytics tools to drive the next generation of decision-making. You will join a diverse interdisciplinary team designing and integrating augmented intelligence capabilities into products and services. Our goals and ambitions are bigger than any one individual. As such, you will join a collaborative team where our knowledge and strengths are complementary. We emphasize cooperative education, where we continually expand and refine our craft. Your talent in software development will be just as important as your understanding of databases, statistics, and machine learning. Your creativity and ingenuity will be needed to solve challenging problems. Ultimately, you will be part of a broad team geared towards delivering quality products and services to our clients, communicating and collaborating with engineers, economists, marketing strategists, and designers, to name a few.
Key Objectives
Key Objective 1: Plan, develop, and maintain sustainable data science services as components of larger applications.
Plan, develop, and maintain data ingestion, pre-processing, feature engineering, and processing services to make training, test, and production data easily and repeatably useable for data science services.
Plan, develop, and maintain core data science functionality (including artificial intelligence, machine learning, and custom data analysis functionality) in these services that measurably improve customer outcomes.
Plan, develop, and maintain systems for testing, evaluating, and improving the accuracy, efficiency, and value of these services for customer outcomes.
Develop and deploy these services within larger environments and applications, coordinating with full-stack and DevOps engineers to implement and leverage containerized environments, version control, CICD deployment patterns, standard tools and technology stacks, testing practices, and code standards.
Integrate these services with larger environments and applications, coordinating with full-stack and DevOps engineers to implement standardized service contracts, data security controls, and best coding standards and practices.
Communicate problems, approaches, possibilities, expectations, results, and data science principles to a variety of technical and non-technical audiences.
Key Objective 2: Plan, develop, and maintain AI/ML solutions as standalone services, demonstrations, processes, and custom tools.
Design, document, and communicate data and input requirements for developing standalone, repeatable AI/ML and data analysis solutions that measurably improve customer outcomes.
Plan, develop, and maintain complete data science solutions, using and extending frameworks, libraries, technologies, and approaches that leverage industry-standard practices for entity resolution, image classification, decision support, feature engineering, and other categories of problems.
Plan, develop, and maintain systems for testing, evaluating, and improving the accuracy, efficiency, and value of these solutions for customer outcomes.
Coordinate with full-stack and DevOps engineers to implement and leverage standard tools and technology stacks, testing practices, and code standards.
Implement these solutions so that their outputs can inform, apply to, and enrich data science services developed for integration with larger applications.
Communicate problems, approaches, possibilities, expectations, results, and data science principles to a variety of technical and non-technical audiences.
Key Objective 3: Perform exploratory data analysis and communicate insights to customers and the product team
Design, document, and communicate requirements and approach for data ingestion, pre-processing, feature engineering, and processing on custom data.
Plan, develop, and maintain data analysis solutions, using and extending frameworks, libraries, technologies, and approaches to identify data features that measurably improve customer outcomes.
Maintain a library of data analysis practices and approaches to grow our standard of practice and accelerate delivery.
Develop and use creative solutions to communicate results, features, value, and further questions, including narrative descriptions, visualizations, and highlighted features.
Communicate problems, approaches, possibilities, expectations, results, and data science principles to a variety of technical and non-technical audiences.
Life at U.Group
We encourage our colleagues to lead balanced lives. Our comprehensive benefits include medical, dental, vision, disability, wellness programs, flexible spending, 20 days paid time off, and paid holidays. We also offer:
Flex Time and Remote Work Options
Education reimbursement program
Fitness Reimbursement
Transit/parking subsidy program
Parental Leave Policy
Professional Development Program
401(k) with Company Match
EQUAL EMPLOYMENT OPPORTUNITY – Our policy is to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, we will provide reasonable accommodations for qualified individuals with disabilities.
U.Group shall abide by the requirements of 41 CFR §§ 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals on the basis of protected veteran status or disability, and require affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified protected veterans and individuals with disabilities."
8	30+ days ago	Data Tecnica	Early career data scientist / analyst / statistical geneticist	"Are you an early career data scientist / analyst / statistical geneticist looking for work? Are you interested in working on the largest Parkinson’s disease genomics and clinical datasets available? Are you passionate about #OpenScience, democratizing research tools and increasing scientific inclusivity?
The COVID19 situation is difficult but we are hiring remote junior staff, targeting an immediate start date. Once the global situation calms in 2021, it is likely the researcher will be needed in the Washington DC area on site approximately two days per week.
Come work with us at NIH on data science projects as part of a diverse team of multidisciplinary scientists that will be helping support the next wave of brain disease initiatives.
We are looking for candidates early in their careers with basic programming skills that are willing to learn and apply new methods and techniques. This position includes general analysis workflows with standard packages (python3, dash, PLINK, HAIL, etc) with responsibilities ranging from data science and machine learning, to data visualization and dashboard builds, as well as some minor data and project management.
This position will include opportunities for on-the-job training, authorship on publications, some independent research, possible scientific conference travel and situational support for continuing education.
Scope of research: Supporting cloud based analysis and data sharing solutions for large genomics and clinical efforts in neurodegenerative disease research. This will focus on running and refining standard analysis, data management and data visualization workflows. Big picture goal is improving open science ecosystems.
Ideal candidate(s): Candidate(s) (under graduate to post-doctoral level) should have some training in bioinformatics and programming (python/R and bash, at least). A basic familiarity with computer clusters and cloud-based computing is ideal. Excellent written and oral communication skills and the ability to work well in teams are required. The incumbent will have a major role in assisting in manuscript preparation and bioinformatic training of other team members, providing technical assistance, and maintaining research continuity within the laboratory.
Additional info: Full time employment on annual contract (30+ hours per week, renewable). Flexible hours + telecommuting. Salary and benefits negotiable / competitive.
Interested candidates should provide the following documents: cover letter, CV and if possible contact info for up to three relevant references.
If interested email: info@datatecnica.com"
9	4 days ago	Nexient	Machine Learning Engineer (Junior)	"***Update: Moving forward and not limited to 2021, Nexient will be supporting fully remote and hybrid work models for all team members***

We’re happy to announce that as part of our efforts to embrace, adapt, and provide more flexibility to our team members—Nexient will be adopting a new set of work models. Whether it’s fully remote, hybrid, or full-time at the office—you now have the option to choose the work arrangement that best suits your needs and preferences. You are not locked into any selection and can make changes at any point if needed.
Don’t only dream about what’s next – come build it with us!
Nexient specializes in bringing a “Product Mindset” to our work, using small, nimble teams, Agile thinking and other techniques from product development to build great custom software people love to use.
And as America’s leading 100% US, 100% Agile software services partner, we’re building it here instead of sending tech jobs offshore.
People are noticing.
Our clients include some of America’s favorite brands in retail, healthcare, financial services and more – but also some very cool product companies you may not have heard of yet. We’re recognized as a Gartner Cool Vendor, HfS Hot Vendor and the only 100% US tech company in the World’s Top 100 Outsourcers. You might have read about us in The New York Times.
Nexient combines:
Silicon Valley innovation (through our Bay Area innovation hub, and network of startups and emerging technology partners)
Scalable, Midwest delivery (with 65+ Agile teams in high talent cities like Ann Arbor, Michigan)
Onsite collaboration (with product managers and other key roles working face-to-face with client teams around the country)
Come build with us!
Required Technical Skills:
Familiarity with machine learning fundamentals
Aware of optimization techniques and differences (gradient decent variants, hyperparameter tuning, regularization)
Some experience with different problems and domains, ideally specialized in at least one (supervised, unsupervised, generative, control/RL, anomaly detection, timeseries, etc.)
Familiarity with a couple of traditional ML models (k-means, KNN, decision trees, SVM, Bayesian/graphical models, Gaussian process, etc.)
Basic understanding of deep learning fundamentals (CNN, RNN, attention/memory, Autoregressive) and ideally some applications of extensions (Transformer, LSTM, ResNet, etc.)
 Experience coding with popular frameworks
Solid with Python (basic data structures, coding patterns) along with common data, math and visualization libraries
Able to work in different coding environments (local, notebooks, containers) and familiar with software engineering workflows (testing, code management/Git)
Loading and saving large data sets and models efficiently
Nice to have:
Structuring code to make it modular and deployable (logging and metrics, adhering to common deployment interfaces/hooks)
Ability to follow papers/theory and adapt associated models
NLP specialization (NLU, NLI, QA, BERT, GPT, T5, XLNet, etc.)
MLOps and cloud environment (resource configuration, optimization)
Data engineering (large scale data processing in batch or stream, security and configuration best practices)
#LinkedInRemote
Benefits & Perks:
Company sponsored health, dental, vision insurance and flexible spending account (FSA) for employees and their families including domestic partners
Paid Vacation Time and company holidays
401K plan
Lunch & Learn
Passionate, collaborative and awesome co-workers
World class training and career mentorship


Nexient is an inclusive equal opportunity employer. At Nexient, your uniqueness makes us better. Your uniqueness is why you are valued, you are heard, you add to our culture, and you belong. Diversity & Inclusion is hard coded into our DNA, and at the core of everything we do. Together, not separately, we strive to become even more diverse to help fuel our innovation and connect us closer with the clients and communities we serve."
