	postdate	company	title	description
0	30+ days ago	FNA	Data Scientist - Remote	"Data Scientist - Remote
Department: Client Success
Location: This is a fully remote role
Term: Full time | Permanent
Mission
Founded in 2014, FNA’s mission is to make the financial system safer and more efficient.
About the role
As Data Scientist at FNA, you will accelerate the development of our award-winning analytics software while implementing and delivering important data science solutions for some of the world's largest and most influential institutions.
Apply your curiosity of machine learning and network science whilst working with a selective team of brilliant data scientists who challenge the status quo daily and are quietly pushing forward the bleeding edge of analytics with our advanced analytics platform.
Actively participate as a contributing member on a team of data scientists through the whole workflow from data access, processing and modeling, to data visualization
Partner with internal FNA stakeholders and client subject matter experts to refine analyses, gain insights and present new findings
Develop and present client specific solutions clearly and concisely, communicate analyses, recommendations, status and results to existing clients and prospects at business management and executive level
Operationalize models into production with the FNA Platform
Carry out research and development of new use-cases, algorithms and solutions - either as part of our product road-map or based on specific client requirements
Act as product owner for specific features or models implemented in the FNA Platform
Resolve client support requests in a professional and timely manner
Why join FNA?
Rapidly advance your thinking, skills and career in a high growth tech company
Work remotely with an international team of innovative and agile colleagues
£1k/yr for training and continuing education
Unlimited holiday lets you take a break when you need it
International team off-sites in sunny locations 2x/yr (when travel permits)
Who we’re looking for
The right candidates will have at minimum 2+ years experience as a Data Scientist in commercial or academic projects applying Network Science & Machine Learning models and presenting your results to stakeholders
You should be a team player who picks up implicit tasks, is self-organized and self-motivated, embraces autonomy and working remotely but enjoys the occasional travel to interface with clients for implementations, training and use case exploration
The right candidate is naturally inquisitive with the ability to communicate technical findings to non-technical personnel and isn’t afraid to present creative, data-driven ideas to stakeholders
Passion and curiosity for what is happening within RegTech/FinTech/SupTech, Cybersecurity and Cyber Threat Intelligence, Graph Databases and especially Graph Theory/Network Science
Efficiently balances accuracy and speed while getting things done
You're a team player with tenacity underpinned by self-awareness and empathy
Fluent written and spoken English. Additional languages are a benefit
Ability to travel approximately 25% of the time (Domestic and International)
Nice to Have's
BA, MS or PhD level qualification in mathematics, economics, finance, statistics, physics, engineering or related applied quantitative field
Spanish bi-lingual business-level language capability
About FNA
Used by the world’s largest central banks and financial institutions, our technology enables them to uncover hidden connections in large complex datasets, visualize them via interactive dashboards and use artificial intelligence to predict and reduce the impact of anomalies and stress events within their networks.
Demand for our technology and experience has grown considerably as organizations realize the interconnected nature of their systems. As a result, we’ve spent the last 12 months expanding our team significantly to serve our customer base and boost our brand.
7bMjy1lkg8"
1	30+ days ago	Under Armour, Inc.	Lead, Data Scientist (REMOTE)	"Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.
Position Summary
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace. Employees must live in the United States.
We are looking for a Lead Data Scientist to join our Enterprise Data Management organization. As a member of the data science team, you will have the opportunity to work with diverse data sets spanning the entire global organization. You will be encouraged to identify creative solutions to real world problems, by leveraging cutting edge machine learning and statistical techniques, while striving to maintain rigorous scientific and engineering standards. You will collaborate with other data scientists, engineers, and key business decision makers to develop the next generation of data driven productions and initiatives at Under Armour.
Essential Duties & ResponsibilitiesTranslate business needs into actionable analytic projectsIdentify, prepare, and validate datasets used in statistical models and machine learning pipelinesBuild, assess, compare, and optimize models in development and production environmentsDesign, document, and track workflows across multiple projectsExtract insights, communicating key outputs and appropriate use cases to non-technical stakeholders and business decision makersStay up-to-date with latest technology and modeling techniquesDesign and implement novel statistical methods, as needed, for specific analysis or use casesCollaborate with other data scientists, data analysts, and business stakeholders throughout the lifecycle of each project to ensure the technical implementation appropriately aligns with business goals.
Qualifications (Knowledge, Skills & Abilities)Ability to apply data science to real-world problems, capable of breaking down complex problems into key components where advanced statistics, data science, and AI can be leveragedUnderstanding of limitations and best practices related to model specification, comparison, selection, and deployment.In-depth knowledge of statistics, probability, and machine learning methodologiesAbility to provide written and oral interpretation of highly specialized terms and data, and ability to present this data to others with different levels of expertiseProficiency with SQL and at least one of Python/R
Education And / Or ExperienceMS/Ph.D. in Computer Science, Applied Mathematics or other quantitative disciplines with a focus on statistical modeling, artificial intelligence, and mathematical algorithmsExperience with one or more of the following: supervised classification algorithms, natural language processing, recommendation engines, supply chain optimization models, unsupervised segmentation, Bayesian statistics, structural equation models, regression, cluster analysis, price elasticity and optimization, demand forecasting3-5 years of industry experience with machine learning and/or advanced statistical modelingPrevious experience in retail or e-commerce preferredPrior experience with AWS services (e.g., EC2, S3) preferredPrior experience working on an agile team preferredPrior experience leveraging version control (e.g., Git, SVN) in a team setting preferred
Other Requirements
Relocation
Remote role.
At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool."
2	12 days ago	HealthCare, Inc.	Data Scientist (US & Guatemala)	"Senior Data Scientist
Join Us
HealthCare.com is looking to grow our elite Data Science team. As a Senior Data Scientist you will be part of the design, development, and deployment of Healthcare Inc.’s machine learning platform including: feature vector generation, experiment design, model generation, model evaluation. You will collaborate with both data engineers, clinical, and product towards building the models and rule generation that will drive Healthcare’s guidance platform to insure, ensure, and assure.
As a Senior Data Scientist you will answer core business questions like what products work for whom, what target audiences to engage, what solutions to implement at each stage of the customer journey, solutions for improving engagement and conversion rates, and identify marketplace dynamics. This opportunity is great for professionals with a shared vision of building an extraordinary platform and serve healthcare consumers through the power of data science!
About the Company
Founded in 2014, HealthCare.com is a privately-owned company whose mission is to help consumers make better healthcare decisions. We’re focused on improving how people shop for and enroll in health insurance coverage through data, content, and superior customer service. Our mission is to empower individuals, families, and small businesses by providing information and recommendations. We have an elite team of over 170 teammates in Miami, Indianapolis, New York City, Guatemala City, and distributed around the globe.
What You’ll Do:
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Work with large, complex data sets
Build and develop all necessary data pipelines
Develop and deploy streaming microservices that enrich the raw data with knowledge and models Develop and deploy standard evaluation frameworks
Develop and deploy per member optimization simulations across financial, clinical and experience outcome variables
Contribute to the success of the team with specific experiment and research directions that can take our guidance platform to the next level
Develop predictive and prescriptive models
Who You Are:
You have an entrepreneurial spirit
You’re able to inspire through your work and motivate others
You have the ability to be both strategic and tactical
What You Have:
Ph.D/MS or combined 5+ years of experience
M.S. or Ph.D. degree in Computer Science, Mathematics, Statistics, Physics or related quantitative fieldsExperience in high concurrency distributed platforms and applied mathematics
Work experience with distributing Computing: Scala, Spark, Hadoop, Hive, HDFS, Cassandra, ElasticSearch Building and developing data pipelines
Experience leveraging public data sources to enhance machine learning
Strong programming experience in Python and/or R: including pandas, numpy, scipy, sklearn, seaborn, plotly
Machine learning experience: DeepLearning, Random Forests, gradient boosting, logistic regression, time-series, k-mean, built Lasso regression, vector embeddings, and more
Experience with ML Platforms like: SageMaker, Tensorflow, Matlab, and others
Understanding of metrics like precision/recall curves, ROC and more
Ability to handle large volumes of heterogeneous medical data
Experience building and designing feature vectors, application of multiple machine learning architectures such as deep learning (MPL, RSTM, etc), Random Forest, Bayesian, Regression, model validation ROC and Precision/Recall, Ensemble models, multi-Ranking, Embeddings, and others
Advanced experience prototyping predictive models on various tasks, and having finished with initial tests, confirmed by domain experts
The Perks
Medical, dental, and vision with 100% company paid premiums for the employee
Up to 15 days of paid time off
10 company observed holidays with an additional 3 floating holidays
Annual learning and development stipend
8 weeks of paid parental leave
EAP services
401k plan with company match
Most importantly, an inclusive company culture established by an incredible team!
Get to Know Us!
https://www.healthcare.com/
linkedin.com/company/healthcare-com
We celebrate diversity, and we’re committed to providing an inclusive work environment. This means our hiring and employment decisions are based on qualifications, merit, and business need.
We’re proud to be an equal opportunity employer.
If you need assistance or an accommodation due to a disability, please contact us at careers@healthcare.com.
w167p4xK0q"
3	25 days ago	Chartbeat	Data Scientist	"About Chartbeat Chartbeat’s (www.chartbeat.com) mission is to help content creators around the world better connect with their audiences. Leading media brands — including The New York Times, ESPN, the Washington Post, the BBC, and CNN — trust our suite of analytics and optimization tools to understand digital audience behavior and strengthen their content strategies. You'll be joining a group of focused, hard-working, people who are passionate about doing work that's challenging and fun—and who strive to maintain a healthy work/life balance.
About Data Science at Chartbeat The Data Science team contributes to the Chartbeat mission by providing insights from our data that help to drive decision making for both our customers and ourselves. We work closely with the Product, Engineering and Design teams to drive innovative data capabilities into our product and with customer-facing teams to provide data to answer their business questions. We also partner closely with Marketing to leverage Chartbeat’s unique metrics to surface stories that reflect the state of reader engagement across the US and the world.


Responsibilities
Collaborate on development of new data-science based product capabilities, including insight generation, content recommendations, content-based audience segmentation, and peer benchmarking
Provide innovative thinking and technical expertise to expand Chartbeat’s capabilities around natural language processing
Understand, diagnose, and update Chartbeat’s data pipelines that support data-science capabilities
Strong candidates will have:
2+ years working as a practicing data scientist in industry
Experience developing, testing, and deploying Python-based machine learning algorithms in AWS environments
Solid knowledge of statistical and machine learning methodology, as evidenced by a degree in a quantitative discipline
Knowledge of common database systems, particularly Redshift/Postgres
Strong business communication skills and ability to work cross-functionally
A passion for understanding reader behaviors
Exceptional candidates will have:
Experience in development of machine learning features as part of a product team
Experience extracting insights from large text corpora using modern techniques
Prior experience in media
Active presence in the data science community, as evidenced by workshop or conference presentations, contributions to data science open source projects, involvement in pro bono data science initiatives, etc.
CompensationWe are proud to offer our team members a competitive compensation plan that includes stock options for full-time employees and a 401K program with a match, excellent options for health, dental, and vision plans, along with multiple other perks, including parental leave, $30/month book
stipend, a yearly budget for Learning and Development, and flexible hours with unlimited vacation.
Diversity, Equity, and Inclusion StatementAt Chartbeat we strive to create and continually grow as a company where all employees are able to be their authentic selves. We are committed to recruiting, hiring, and retaining employees from different backgrounds, viewpoints, and experiences. Our strength is our diversity and we are dedicated to continuously reflect upon, and evolve our efforts to maintain a diverse, equitable and inclusive ecosystem.
Equal Opportunity Employment Statement Chartbeat is an Equal Opportunity Employer and does not discriminate on the basis of race, color, gender, sexual orientation, gender identity or expression, religion, disability, national origin, protected veteran status, age, or any other status protected by applicable national, federal, state, or local law."
4	5 days ago	XSELL Technologies	Senior Data Scientist	"XSELL is currently seeking a Data Scientist to serve as a key member of our Data Science team. This role will work within the SAFe Agile framework of continuous delivery, work with other Data Scientists, and be a critical resource for our growing Data Science staff.
Job Description
Designing, implementing and improving XSELL’s proprietary softwares, real time messaging recommendation systems, HiPerCoBot and QABOt using various mathematical, Natural Language Processing (NLP) algorithms and machine learning models.
Developing new systems using Python NLP (lemmatization, stemming, named entity recognition) and updating the existing systems by adding new features to enhance the customers experience.
Interacting with stakeholders to identify the requirements and define new processes.
Closely work with the team to define the architecture of the Microservice environment and deploy systems using RESTful API’s.
Planning, development, and analysis of dialogue prediction/sentiment models, causal models of customer/agent behavior.
Improving the accuracy of the in house XSELL Recommendation System software suite by evaluating and monitoring annotations manually labelled by Ontology team.
Analyzing and researching the current market trends for possible AI opportunities/improvements.
Qualifications
MS/PhD in a quantitative discipline (e.g. Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field).
3-5 years full time employment experience building and validating predictive models on structured or unstructured data.
Proficiency in Python with knowledge of basic libraries for data manipulation, machine learning, natural language processing and text mining and experience writing production ready code.
Experience creating and using advanced machine learning algorithms (regression, neural networks, etc.)
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, PyTorch.
Ability to create structure and processes from scratch and improve existing processes and align team members to them.
Nice to Have
Experience in SQL.
Understanding of object oriented design.
Ability to craft new concepts and stay current with academic research
Experience with graph databases and graph designs.
Experience in designing/developing production level machine learning architectures (using Flask or Redis)
XSELL is committed to a culture of teamwork; where everyone works together to plan, do, learn, and continuously improve. We accomplish that by staying true to our core values.
Best Chapter: Every XSELLer is plugged in and focused on writing their “best chapter yet”, both personally and professionally. We believe in working hard to achieve success, but that success only comes if we are doing it together. We do this with a high level of humility, integrity and compassion towards out coworkers. We celebrate and recognize each other and have a lot of fun along the way.
Know Us By Our Results: We do what we say and say what we do. Our coworkers and clients will “know us by our results” – we welcome that and embrace transparency and measurement.
Do It The XSELL Way: Together we are building an inclusive culture full of top performing, talented people that are striving towards common goals with resilience. People will admire not only the work we do but also that we “do it the XSELL way” – as one team. We do this through strong communication, collaboration and accountability to each other.
Open for Business: We are always “open for business” – fiercely committed to improving ourselves, our team and our company. We stay curious and approach every situation as an opportunity to learn and grow.
Conversations Happen In the Room: Feedback is imperative to our collective success. We approach the “conversation in the room” with respect, empathy and candor. Our dialogue with each other is always open and honest.
XSELL Technologies is an Equal Employment Opportunity Employer and all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
#LI REMOTE

LULSNG6E2x"
5	30+ days ago	Hyperspace Ventures	Data Scientist	"Durham, NC | Austin, TX | Remote | Full Time
Data Scientist

We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.
Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
The Data Scientist Analytics role has work across the following four areas:
Product Operations
Forecasting and setting product team goals
Designing and evaluating experiments
Monitoring key product metrics, understanding root causes of changes in metrics
Building and analyzing dashboards and reports
Building key data sets to empower operational and exploratory analysis
Evaluating and defining metrics
Exploratory Analysis
Proposing what to build in the next roadmap
Understanding ecosystems, user behaviors, and long-term trends
Identifying new levers to help move key metrics
Building models of user behaviors for analysis or to power production systems
Product Leadership
Influencing product teams through presentation of data-based recommendations
Communicating state of business, experiment results, etc. to product teams
Spreading best practices to analytics and product teams
Data Infrastructure
Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica
Automating analyses and authoring pipelines via SQL and python based ETL framework
Minimum Qualifications:
2+ years experience doing quantitative analysis
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
Experience in SQL or other programming languages
Development experience in any scripting language (PHP, Python, Perl, etc.)
Experience communicating the results of analyses with product and leadership teams to influence the strategy of the product
Knowledge of statistics (e.g., hypothesis testing, regressions)
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods
Preferred Qualifications:
Advanced degrees
Experience with distributed computing (Hive/Hadoop)"
6	30+ days ago	Raytheon Technologies Corporate	Data Scientist	"Businesses Raytheon Technologies Corporate
Job ID 01425006
Date posted 03/31/2021
City Brooklyn
State New York
Country United States
Date Posted:
2021-03-24-07:00
Country:
United States of America
Location:
UTNB1: Corp - Brooklyn NY 55 Water St, Brooklyn, NY, 11201 USA
Raytheon Technologies
Raytheon Technologies Corporation is an aerospace and defense company that provides advanced systems and services for commercial, military and government customers worldwide. It comprises four industry-leading businesses – Collins Aerospace Systems, Pratt & Whitney, Raytheon Intelligence & Space and Raytheon Missiles & Defense. Its 195,000 employees enable the company to operate at the edge of known science as they imagine and deliver solutions that push the boundaries in quantum physics, electric propulsion, directed energy, hypersonics, avionics and cybersecurity. The company, formed in 2020 through the combination of Raytheon Company and the United Technologies Corporation aerospace businesses, is headquartered in Waltham, Massachusetts
Position
We are seeking highly motivated data scientists to join the Digital Accelerator team in either Brooklyn, NY or Atlanta, GA. We are looking for people who have a passion for analyzing and uncovering digital insights from large, complex streams of data derived from the worlds most advanced aerospace, aviation and building management systems.

As a member of the team, you will work on the research, development, and implementation of complex machine learning systems to predict rare events and faults in aerospace and building system components.

This position will provide the unique opportunity to operate in a start-up-like environment within a Fortune 50 company. Our digital focus is geared towards releasing the insights inherent RTXs best-in-class products and services. Together we aim to achieve new levels of productivity by changing the way we work and identifying new sources of growth for our customers.

Job Responsibilities include:
Develop models and algorithms that will improve how we design, manufacture, monitor, and maintain industrial assets such as jet engines and other aviation systems.
Conduct exploratory data analysis
Participate in early stage R&D work to further advance the ML platform
Collaborate with software development to implement and deploy newly developed technologies and algorithms
Work with business units and lead data scientists to implement real-world critical use cases on the platform
Build scripts to automate, clean, transform, cross-reference and merge large sources of data utilizing Python
Results-oriented with a strong sense of ownership in delivering for our customer and businesses
Qualification:
5+ years related experience
Deep knowledge of machine learning, statistics, optimization or related field
Experience with R, Python, Perl, Matlab
Experience with industrial/commercial applications of data science including prognostic and health management, supply chain optimization, and human capital management is a significant plus
Excellent written and verbal communication skills along with the ability to well work in cross functional teams
Work experience in programming, data science, machine learning
Motivated self-starter with a strong enthusiasm to learn
Results-oriented with strong communication and customer focus
Ability to deal well with ambiguous and undefined problems
Education:
Candidates for this role should possess a Bachelors Degree +7yrs experience, or an Advanced Degree +5yrs experience.
Location: Brooklyn NY, Atlanta GA, or RemoteDue to the nature of our work, all candidates must be US Citizen or Permanent Residents
Raytheon Technologies is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.
Privacy Policy and Terms:
Click on this link to read the Policy and Terms

Raytheon Technologies is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class."
7	30+ days ago	Southern New Hampshire University	Data Scientist	"This position will be responsible for enabling our students facing/supporting staff and leadership in their goals and initiatives aimed at setting up our students for better success and also, enable our business development teams in expanding the reach for University - both on-campus and online - courses. The data scientist will be responsible for delivering forecasting and data science needs to our business partners by actively identifying opportunities, providing actionable, insightful analysis and designing scalable programs.
Essential duties and responsibilities of this position include:
Work on all aspects of creating predictive intelligence including collecting requirements, establish analytics work plan, data exploration, cleansing, and preparation, identifying features, selecting algorithms, building and testing models, iteratively improving solutions
Develop data driven, insightful analyses to answer questions, with a focus on cause and effect relationships, address business challenges or identify opportunities, and provide actionable recommendations
Look for opportunities to enrich company’s data quality with external third party sources
Build and leverage machine learning models like gradient boosting trees, random forest, etc. or high quality prediction systems like recommender engines, to advance the current suite of analytical capabilities and drive better targeting strategies
Synthesize these qualitative and quantitative solutions into actionable recommendations and communicate those findings to business teams
Leverage story-telling skills to deliver insights that are clear, concise and actionable
Contribute to and maintain the state-of-the-art data science ecosystem that enables the larger team to leverage these data science products/packages for their needs
Collaborate with other analytics team members and business units to drive common goal achievement and organizational objectives. The cross-team interaction is very important - you'll be required to enforce a culture of data analytics driven approach across organization.
Minimum Qualifications:
3+ years of relevant experience with Bachelor’s degree in Applied Math, Economics, Statistics, Engineering, Computer Science or other quantitative field or 2+ years of relevant experience with Masters in mentioned quantitative fields
Strong knowledge of applied statistics skills, such as statistical testing, propensity matching, statistical modeling, classification, etc.
Proficiency in SQL and Python
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Trees, XGBoost, etc.
Data-oriented personality, combined with superior communication skills
Preferred Qualifications:
Familiarity with advanced visualization tools (e.g. D3.js) and techniques
Experience with text mining – NLP, Sentiment Analysis, etc.
PhD degree in above mentioned quantitative fields
Experience with common data science toolkits, such as R, MS Power BI, Git, etc.
Work Hours:

Typically Monday through Friday, 8:00am to 4:30pm with flexibility to meet business demands as needed.
A background check is required for employment. Please submit a cover letter, in addition to your resume, with your application.
Why Join SNHU?

Ours is a dynamic environment where innovation is encouraged—and ideas are welcomed. We believe in one another’s potential, and we focus on creating a positive community where collaboration, belonging, and growth are valued.

SNHU employees are a team in every sense. Separately, we understand that each individual brings unique experiences, perspectives, and ideas to create a vibrant work environment. Together we share common values of honesty, acceptance, and accountability working as a unified force toward a common goal: to transform the lives of learners.

As a global leader in education, we strive for a workforce that reflects the individual differences of our learning community. We believe that our employees can be their best selves when they can be their true selves. Therefore, we are committed to cultivating and preserving a culture of inclusion in which all of our employees feel welcomed, valued, and empowered. We’re proud to have been recognized as a Great College to Work for by the Chronicle of Higher Education every year since its

inception.

By joining our team, you join us in our vision. Together, we’ll shape the future of education by transforming lives—beginning with yours."
8	Active 7 days ago	Cardinal Intellectual Property, Inc	Data Scientist/Machine Learning Engineer- Remote opportunity	Cardinal Intellectual Property is actively seeking Data Scientist/Machine Learning Engineer to join our dynamic and fast-growing technology team. This is an excellent opportunity for an Engineer who wants to work with cutting edge technologies and to be a crucial part of building the next generation of our applications by integrating machine learning to speed up the business process.This is a cross-technology opportunity which involves machine learning model invention and application, with the goal of assisting lawyers, researchers, and field specialists in retrieving relevant data quickly and accurately. Your role will be to critically analyze new methods and technologies and apply them to scalable, enterprise-ready code responsible for processing large-scale image search requests in new and intelligent ways.Position Responsibilities/Duties: Research and implement new image search models and improvements to existing ones using big data to solve real-world problems.Collaborate and contribute with other engineers to facilitate creation of novel architectures.Building scalable, enterprise grade implementations using Python and other technologies executing in a multi-server cloud contextAnalyzing data form(architecture), storage, transfer, and representation to improve performance for clients and users.Work directly with PMs POs, DB engineers, DevOps, engineers, and others, as necessary.Required Skills and Abilities: 3+ years using PythonExperience with Computer Vision such as Image Recognition, Segmentation, ClassificationHand-on experience with classical Machine Learning and Deep LearningUnderstanding of denormalized database structures and retrieval methods e.g., SQL)Experience with NumPy/TensorFlow/torch/pandasExperience with FlaskExperience with OpenCV or other computer vision librariesExperience with Docker is a plusExperience with Spark is a plusExperience with Azure is a plusQualifications: Ph.D. or MS in Computer Science or a related field3+ years’ experience in machine learningHands-on experience in developing deep learning solutionsExperience with search algorithms/modelsCompany Benefits for Full Time employees: Insurance Benefits (Health, Dental, Vision, STD, LTD, V-Life).Paid Time Off including Paid Sick time off.Paid Company Holidays.Retirement Plan-401(K) & ROTH; contributions from Company to retirement plan is in the form of profit sharing.Cardinal Intellectual Property, Inc. is a global leader in patent and trademark service, and a provider of software services for intellectual property management. As a leader in the patent research industry, Cardinal IP has been contracted by the U.S. Patent and Trademark Office to conduct their PCT searches and prepare the preliminary opinions across all subject categories. Our technology solutions for intellectual property management include Invention Disclosure Processing, Docketing, and Competitive Monitoring. Our technology platforms incorporate rigorous security and data protection standards, and we maintain confidentiality using the same diligence and procedures as a law firm.Cardinal Intellectual Property, Inc. provides equal opportunity in employment to all employees and applicants for employment. No person will be discriminated against in employment because of race, religion, color, sex, gender, age, national origin, ancestry, citizenship status, disability, sexual orientation, military status, marital status, genetic information, or any other characteristic protected by applicable Federal, State or local statute or ordinance.Job Type: Full-time
9	30+ days ago	Relativity	Senior Data Scientist- Trace	"We are Relativity. A market-leading, global tech company that equips legal and compliance professionals with a powerful platform to organize data, discover the truth, and act on it. The US Department of Justice, 199 of the Am Law 200, and more than 329,000 enabled users trust Relativity during litigation, internal investigations, and compliance projects.

Our SaaS product, RelativityOne, has become the fastest-growing product in the company's history and we have consistently been named a great workplace. As we grow, we continue to seek individuals that will bring their whole, authentic self to our team.
We believe that great talent is not bound by geography and that what you do matters more than where you do it. Relativity has assumed a hybrid work strategy, allowing choice and flexibility for employees to work either from home, a physical Relativity office location (once safe to do so), or a combination of the two, within certain logistical boundaries. Submit your application to learn more from our recruiters or contact us for more details.

Relativity Trace is an early-stage business within Relativity that’s bringing a best-in-class communication surveillance platform to the global market. Our team’s vision is to build a world free of professional misconduct. Trace is the most flexible communication surveillance platform allowing compliance teams to have full control over how they monitor risk. It leverages innovative artificial intelligence to supplement compliance team capabilities to reduce false positive alerting and increase efficiency.
This Data Scientist will work closely with product leaders and the Compliance AI engineering team to build Artificial Intelligence (AI) and Machine Learning (ML) capabilities that pinpoint regulatory misconduct at financial services organizations. They will explore, validate, and guide implementation of inventive solutions that are new to the market, while also engaging our clients and industry with whitepapers, blog posts, and presentations.
Responsibilities:
Own the data science and statistical decisions that make up our Compliance AI offerings.
Apply experience and knowledge from a comprehensive understanding of data science to the specific opportunities we face with our products and features.
Work directly with Product Managers and Engineers to interrogate and distill our clients' problems into their purest forms.
Operate independently to conduct investigations while meeting deadlines.
Specify and communicate solutions to Architects and Engineers, collaborating with team members through final implementation.
Advocate solutions through publishing blog posts, research papers, and white papers, as well as speaking at E-discovery and Analytics conferences.
Preferred Qualifications:
Excellent, enthusiastic communicator
Deep understanding of machine learning techniques and algorithms, such as Latent Semantic Analysis, Support Vector Machine, Natural Language Processing, Neural Networks, Ensemble methods, and/or Bayesian methods
5 or more years of industry experience or equivalent experience advising product development and evaluating different solutions for best fit in a software product.
Minimum Qualifications:
3-5+ years of professional Data Science experience (no recent grads)
Azure or other cloud platform experience a plus
Experience with machine learning techniques and algorithms: LSI, SVM
Legal industry experience preferred, not required
At Relativity, we live our core values and we thrive on solving complex problems. We’re dedicated to continually improving our product and providing relentless customer service, and we’re always looking for people to join us on the journey.

Relativity is a team of smart, passionate people always looking to grow, contribute, and make our product and customer service the best it can be. Our team members come from diverse backgrounds with different skills and life experiences—and we love and celebrate those differences. We believe that employees are happiest when they’re empowered to be their full, authentic selves, regardless how you identify.

So, please come as you are. We can’t wait to meet you.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law."
